,conv1_absmax,conv1_ilength,conv1_margin,conv1_mean,conv1_std,conv2_absmax,conv2_ilength,conv2_margin,conv2_mean,conv2_std,data_absmax,data_ilength,data_margin,data_mean,data_std,ip1_absmax,ip1_ilength,ip1_margin,ip1_mean,ip1_std,ip2_absmax,ip2_ilength,ip2_margin,ip2_mean,ip2_std,label_absmax,label_ilength,label_margin,label_mean,label_std,loss_absmax,loss_ilength,loss_margin,loss_mean,loss_std,pool1_absmax,pool1_ilength,pool1_margin,pool1_mean,pool1_std,pool2_absmax,pool2_ilength,pool2_margin,pool2_mean,pool2_std
0,2.80701541901,2,0.298246145248,-0.0229126084596,0.400382429361,3.04851603508,2,0.23787099123,-0.0234085675329,0.492144048214,1.0,0,0.0,0.126788705587,0.303430914879,2.26908302307,2,0.432729244232,0.186556845903,0.285560429096,1.03435409069,1,0.482822954655,-0.0358994938433,0.315195083618,9.0,4,0.4375,4.4375,2.99413490295,2.35645604134,2,0.410885989666,2.35645604134,0.0,2.62425494194,2,0.343936264515,0.0946627408266,0.390571296215,2.43706917763,2,0.390732705593,0.229482039809,0.456993788481
1,3.78450465202,2,0.0538738369942,-0.0251705478877,0.455698162317,4.52787065506,3,0.434016168118,-0.0744064822793,0.837317824364,1.0,0,0.0,0.120928213,0.297379463911,4.94280862808,3,0.38214892149,0.478491693735,0.682802021503,11.6213302612,4,0.273666858673,-0.106833219528,3.51987481117,9.0,4,0.4375,4.75,2.89935326576,0.346811801195,-1,0.30637639761,0.346811801195,0.0,3.40598297119,2,0.148504257202,0.0932240262628,0.44189658761,4.12748765945,3,0.484064042568,0.338105291128,0.788455843925
2,3.8662109375,2,0.033447265625,-0.037445217371,0.501242399216,6.06665039062,3,0.241668701172,-0.233661666512,0.939303696156,1.0,0,0.0,0.137157991529,0.31579720974,5.5888671875,3,0.301391601562,0.467641890049,0.709609031677,12.7049751282,4,0.205939054489,-0.0594390742481,3.82117581367,9.0,4,0.4375,3.75,2.72717809677,0.218923479319,-2,0.124306082726,0.218923479319,0.0,3.73828125,2,0.0654296875,0.0953702256083,0.48397141695,4.09106445312,3,0.488616943359,0.26803663373,0.86405134201
3,3.77404785156,2,0.0564880371094,-0.0442836843431,0.469249635935,6.53002929688,3,0.183746337891,-0.314371794462,0.898949503899,1.0,0,0.0,0.12723018229,0.305411547422,5.59350585938,3,0.300811767578,0.40407282114,0.644981443882,12.4879808426,4,0.219501197338,-0.0833309143782,3.57482862473,9.0,4,0.4375,4.953125,2.68927097321,0.2942237854,-1,0.411552429199,0.2942237854,0.0,3.70397949219,2,0.0740051269531,0.0834931656718,0.453876525164,5.68115234375,3,0.289855957031,0.170919641852,0.817477345467
4,3.48168945312,2,0.129577636719,-0.0501840375364,0.408771932125,5.12817382812,3,0.358978271484,-0.259658455849,0.814212203026,1.0,0,0.0,0.112304724753,0.285789549351,5.21875,3,0.34765625,0.377760589123,0.601034283638,12.7920722961,4,0.200495481491,-0.0873861163855,3.51025676727,9.0,4,0.4375,4.390625,2.65528464317,0.154994308949,-2,0.380022764206,0.154994308949,0.0,3.37023925781,2,0.157440185547,0.0715003162622,0.393175989389,4.08862304688,3,0.488922119141,0.213869899511,0.740377306938
5,3.52429199219,2,0.118927001953,-0.0549240075052,0.458595067263,5.54223632812,3,0.307220458984,-0.365802645683,0.934410333633,1.0,0,0.0,0.134526327252,0.313961833715,6.529296875,3,0.183837890625,0.41181859374,0.666442871094,12.8117523193,4,0.199265480042,-0.0881844311953,3.8467438221,9.0,4,0.4375,4.828125,2.95568680763,0.285031884909,-1,0.429936230183,0.285031884909,0.0,3.33972167969,2,0.165069580078,0.0721687972546,0.439572989941,5.05224609375,3,0.368469238281,0.159820511937,0.839818120003
6,3.57495117188,2,0.106262207031,-0.0631484538317,0.502777218819,6.6240234375,3,0.171997070312,-0.432988464832,1.02872502804,1.0,0,0.0,0.156313493848,0.335015356541,7.48754882812,3,0.0640563964844,0.445179730654,0.727925181389,14.9028644562,4,0.068570971489,-0.135532051325,4.25698471069,9.0,4,0.4375,4.578125,2.96755743027,0.164116799831,-2,0.343532800674,0.164116799831,0.0,3.34875488281,2,0.162811279297,0.0817592516541,0.480150401592,4.82397460938,3,0.397003173828,0.155500501394,0.922339558601
7,3.40686035156,2,0.148284912109,-0.0617847926915,0.438846945763,6.0185546875,3,0.247680664062,-0.356706768274,0.903402268887,1.0,0,0.0,0.129408985376,0.306472063065,5.84497070312,3,0.269378662109,0.402417421341,0.645116508007,12.8656244278,4,0.195898473263,-0.0941227525473,3.83538603783,9.0,4,0.4375,3.890625,2.91074085236,0.101379089057,-3,0.18896728754,0.101379089057,0.0,3.17919921875,2,0.205200195312,0.07224496454,0.41893646121,4.873046875,3,0.390869140625,0.189008444548,0.808203995228
8,3.48254394531,2,0.129364013672,-0.0622442886233,0.443802416325,6.19165039062,3,0.226043701172,-0.392134219408,0.956417381763,1.0,0,0.0,0.131849244237,0.309352964163,5.240234375,3,0.344970703125,0.43253198266,0.700894832611,13.8070173264,4,0.137061417103,-0.0836900696158,4.25821447372,9.0,4,0.4375,4.90625,2.7083132267,0.0763856247067,-3,0.388915002346,0.0763856247067,0.0,3.05920410156,2,0.235198974609,0.0722223073244,0.424158424139,4.95288085938,3,0.380889892578,0.190505936742,0.854854047298
9,3.3349609375,2,0.166259765625,-0.0633575841784,0.433251261711,5.14404296875,3,0.356994628906,-0.371648013592,0.914287090302,1.0,0,0.0,0.12948217988,0.30649626255,6.5126953125,3,0.185913085938,0.395165830851,0.632531106472,13.6136636734,4,0.149146020412,-0.107191897929,3.66403627396,9.0,4,0.4375,3.59375,2.82687306404,0.0886143445969,-3,0.291085243225,0.0886143445969,0.0,3.01379394531,2,0.246551513672,0.0707190036774,0.413026839495,5.09375,3,0.36328125,0.182791516185,0.816378235817
